terms
2'-deoxyadenosine
a-549 cell
a-549 cellwhole organism
a2780 cell
above-ground gametophyte without roots
achillea millefolium
acorus calamus
acromyrmex octospinosus
acropora
acropora aspera
adipose tissue
aedes albopictus
aegopodium podagraria
aerial part
aerva lanata
agave americana
ailuropoda melanoleuca
alkane reference
alkane standard
alopecurus pratensis
althaea officinalis
amniotic fluid
anethum graveolens
angelica archangelica
anopheles gambiae
anther
anthoxanthum odoratum
aphis gossypii
apis cerana
aquatica lateralis
aqueous humor
arabidopsis thaliana
arachis hypogaea
aralia elata
arctium lappa
aronia melanocarpa
arpe-19 cell
arrhenatherum elatius
artemisia absinthium
artificial glucose mixture
artificial sputum medium
asarum europaeum
aspergillus fumigatus
astragalus mongholicus
astragalus propinquus
avenula pubescens
bacillus drentensis
bacillus methanolicus
bacillus subtilis
streptomyces coelicolor
bacteria
bark
bergenia crassifolia
berry
betula pendula
bidens tripartita
blood
blood plasma
blood serum
bloodstream form
bone marrow-derived macrophage
bos taurus
brachythecium rutabulum
brain
brassica juncea
brassica napus
brassica oleracea
breast cancer cell
bronchoalveolar lavage fluid
brown adipose tissue
bud
buffer
bupleurum aureum
burkholderia thailandensis
by4741
c-10 cell
c2c12 cell
c57bl
caco-2 cell
caenorhabditis elegans
calanus
calendula officinalis
calibrant
calliergonella cuspidata
callus
camellia sinensis
campylobacter jejuni
cancer-associated fibroblasts
candida albicans
candida glabrata
candida inconspicua
candida parapsilosis
candida tropicalis
candidatus chloracidobacterium
candidatus thermochlorobacter spp.
cardiomyocyte cell line
carica papaya
caryopsis
cecal content
cell
cell culture
cell lysate
cell media
cell suspension culture
cells
centaurea jacea
centella asiatica
cerebral cortex
cerebrospinal fluid
chemical
chlamydomonas reinhardtii
chlorella
chlorocebus sp.
chloroflexus
cho-k1 cell
chromobacterium violaceum
cichorium intybus
clavispora lusitaniae
colorectal adenocarcinoma
colorectal adenocarcinoma cell
comercial ribose
conditioned dmem media
convallaria keiskei
coral reef sea water
coriandrum sativum
corynebacterium glutamicum
cricetulus griseus
crocus sativus
ctenopharyngodon idella
cucumaria georgiana
culture media
culture medium
culture supernatant
cunila
cylindrotheca closterium mix
cylindrotheca closterium nh3-13
cylindrotheca closterium ws3-7
dactylis glomerata
danio rerio
daphnia magna
daphnia pulex
daucus carota
derivatisation blank
dicentrarchus labrax
dictyostelium discoideum
digestive gland
dioscorea caucasica
drosophila
drosophila melanogaster
drosophila melanogaster x drosophila simulans
early whole plant fruit ripening stage
echinacea purpurea
egg
eisenia fetida
eleutherococcus senticosus
eleutherococcus sessiliflorus
embryo
endometabolome
enterobacter cloacaeartificial sputumpseudomonas aeruginosaenterobacter cloacae - pseudomonas aeruginosa
epididymis
epithelial cell
equisetum arvense
equus caballus
erythrocyte
escherichia coli
esophagus
espeletia
ethanol
euglena gracilis
exometabolome
exudate
exudateexudate
feces
festuca rubra
fetal serum
fissidens taxifolius
flower
flower bud
flower stalk
foeniculum vulgare
food
foot
fragaria vesca
frangula alnus
fraxinus excelsior
fruit
galium mollugo
galium verum
gallus gallus
garcinia mangostana
gastrocnemius
geranium pratense
ginkgo biloba
glucose
glycine max
glycogen
glycyrrhiza glabra
gomphrena
gossypium hirsutum
grain
grimmia pulvinata
hacat cell
hairless
haliclona fulva
haliclona mucosa
hcc-1937 cell
hcc-1954 cell
hct-116 cell
head
heart
heart ventricle
hedysarum neglectum
hek-293 cell
hela-shmt2-shshmt2 cell
helianthus tuberosus
helichrysum arenarium
heligmosomoides polygyrus
hemolymph
hep-g2 cell
hepatocyte
hepatoma cell
heracleum sibiricum
hl-60 cell
holcus lanatus
homo sapiens
hordeum vulgare
human
humulus lupulus
huvec cell
hydroponic plant culture media
hypericum perforatum
hypnum cupressiforme
hypnum cupressiforme s. l.
hypocotyl
hypocotylwhole organism
ignelater luminosus
ilex paraguariensis
inga acreana
inga alata
inga alba
inga auristellae
inga brachystachys
inga chartacea
inga coruscans
inga laurina
inga leiocalycina
inga marginata
inga microcoma
inga obidensis
inga pezizifera
inga umbellifera
internal standard
intestine
intracellular
intracellular extract
intracellular part
inula helenium
ioba-nhc cell
