terms
2'-deoxyadenosine
a-549 cell
a-549 cellwhole organism
a2780 cell
above-ground gametophyte without roots
achillea millefolium
acorus calamus
acromyrmex octospinosus
acropora
acropora aspera
aedes albopictus
aegopodium podagraria
aerva lanata
agave americana
ailuropoda melanoleuca
alkane reference
alkane standard
alopecurus pratensis
althaea officinalis
anethum graveolens
angelica archangelica
anthoxanthum odoratum
aphis gossypii
apis cerana
aquatica lateralis
aqueous humor
arachis hypogaea
aralia elata
arctium lappa
aronia melanocarpa
arpe-19 cell
arrhenatherum elatius
artemisia absinthium
artificial glucose mixture
artificial sputum medium
asarum europaeum
astragalus mongholicus
astragalus propinquus
avenula pubescens
bacillus drentensis
bacillus methanolicus
bacillus subtilis
streptomyces coelicolor
bacteria
bergenia crassifolia
betula pendula
bidens tripartita
blood serum
bloodstream form
brachythecium rutabulum
brassica juncea
bronchoalveolar lavage fluid
buffer
bupleurum aureum
burkholderia thailandensis
c-10 cell
c2c12 cell
caco-2 cell
calanus
calendula officinalis
calibrant
calliergonella cuspidata
camellia sinensis
campylobacter jejuni
cancer-associated fibroblasts
candida glabrata
candida inconspicua
candida parapsilosis
candida tropicalis
candidatus chloracidobacterium
candidatus thermochlorobacter spp.
cardiomyocyte cell line
carica papaya
caryopsis
cecal content
cell lysate
cell media
cells
centaurea jacea
centella asiatica
chemical
chlorella
chlorocebus sp.
chloroflexus
cho-k1 cell
chromobacterium violaceum
cichorium intybus
clavispora lusitaniae
colorectal adenocarcinoma cell
comercial ribose
conditioned dmem media
convallaria keiskei
coral reef sea water
coriandrum sativum
corynebacterium glutamicum
cricetulus griseus
crocus sativus
ctenopharyngodon idella
cucumaria georgiana
culture media
culture medium
culture supernatant
cunila
cylindrotheca closterium mix
cylindrotheca closterium nh3-13
cylindrotheca closterium ws3-7
dactylis glomerata
daphnia magna
daphnia pulex
daucus carota
derivatisation blank
dicentrarchus labrax
dictyostelium discoideum
digestive gland
dioscorea caucasica
drosophila
drosophila melanogaster x drosophila simulans
echinacea purpurea
egg
eisenia fetida
eleutherococcus senticosus
eleutherococcus sessiliflorus
endometabolome
enterobacter cloacaeartificial sputumpseudomonas aeruginosaenterobacter cloacae - pseudomonas aeruginosa
espeletia
euglena gracilis
exometabolome
exudate
exudateexudate
feces
festuca rubra
fetal serum
fissidens taxifolius
flower stalk
foeniculum vulgare
food
foot
fragaria vesca
frangula alnus
fraxinus excelsior
galium mollugo
galium verum
garcinia mangostana
geranium pratense
ginkgo biloba
glycogen
glycyrrhiza glabra
gomphrena
grain
grimmia pulvinata
hacat cell
hairless
haliclona fulva
haliclona mucosa
hcc-1937 cell
hcc-1954 cell
hct-116 cell
hedysarum neglectum
hela-shmt2-shshmt2 cell
helianthus tuberosus
helichrysum arenarium
heligmosomoides polygyrus
hemolymph
hep-g2 cell
heracleum sibiricum
hl-60 cell
holcus lanatus
human
humulus lupulus
hypericum perforatum
hypnum cupressiforme
hypnum cupressiforme s. l.
hypocotylwhole organism
ignelater luminosus
ilex paraguariensis
inga acreana
inga alata
inga alba
inga auristellae
inga brachystachys
inga chartacea
inga coruscans
inga laurina
inga leiocalycina
inga marginata
inga microcoma
inga obidensis
inga pezizifera
inga umbellifera
internal standard
intracellular
intracellular extract
intracellular part
inula helenium
ioba-nhc cell
ipsilateral region of brain
ircinia campana
jacobaea
juniperus communis
jurkat cell
juvenile leaf
kalanchoe fedtschenkoi
kimchi soup
knautia arvensis
kunming white outbred strain mice
lactobacillus rhamnosus
lactuca sativa
landoltia punctata
larvae
laternula elliptica
leave
leishmania infantum
leishmania mexicana
leishmania mexicana species complex
lemna gibba
lemna paucicostata
leonurus quinquelobatus
leucanthemum vulgare
levisticum officinale
linum usitatissimum
liothyrella uva
litoria verreauxii
liver cancer cell
lobophora monticola
lobophora obscura
lobophora rosacea
lobophora sonderii
lolium perenne
lotus burttii
lotus burttiiwhole plant
lotus corniculatus
lotus creticus
lotus filicaulis
lotus japonicus
lotus tenuis
lotus uliginosus
lung fibroblast cell line
lysiphlebia japonica
macleaya cordata
macrobrachium nipponense
malus domestica
manihot esculenta
marchantia polymorpha
