Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS419	" ""C1-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""C2-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""C3-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""C7-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""C8-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA1-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA2-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA3-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA7-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA8-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA-PCA1-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA-PCA2-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA-PCA3-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA-PCA7-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA-PCA8-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA-PRO1-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA-PRO2-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA-PRO3-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA-PRO7-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA-PRO8-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""PCA1-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""PCA2-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""PCA3-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""PCA7-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""PCA8-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""PRO1-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""PRO2-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""PRO3-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""PRO7-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""PRO8-6h-MET"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""C1_6h_CL"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""C2_6h_CL"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""C3_6h_CL"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""C7-6h-CLO"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""C8-6h-CLO"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA+PCA1_6h_CL"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA+PCA2_6h_CL"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA+PCA3_6h_CL"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA+PCA7-6h-CLO"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA+PCA8-6h-CLO"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA+PRO1_6h_CL"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA+PRO2_6h_CL"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA+PRO3_6h_CL"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA+PRO7-6h-CLO"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA+PRO8-6h-CLO"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA1_6h_CL"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA2_6h_CL"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA3_6h_CL"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA7-6h-CLO"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""DHA8-6h-CLO"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""PCA1_6h_CL"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""PCA2_6h_CL"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""PCA3_6h_CL"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""PCA7-6h-CLO"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""PCA8-6h-CLO"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""PRO1_6h_CL"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
MTBLS419	" ""PRO2_6h_CL"""	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	hepatoma cell	BTO	http://purl.obolibrary.org/obo/BTO_0000608
