Number	" ""Source Name"""	Characteristics[Organism]	Term Source REF[Organism]	Term Accession Number[Organism]	Characteristics[Organism part]	Term Source REF[Organism part]	Term Accession Number[Organism part]
MTBLS276	" ""Gurdon Inst"""	Escherichia coli	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/562	Escherichia coli K-12	EFO	http://purl.obolibrary.org/obo/NCBITaxon_83333
MTBLS276	" ""Gurdon Inst"""	Escherichia coli	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/562	Escherichia coli K-12	EFO	http://purl.obolibrary.org/obo/NCBITaxon_83333
MTBLS276	" ""Gurdon Inst"""	Escherichia coli	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/562	Escherichia coli K-12	EFO	http://purl.obolibrary.org/obo/NCBITaxon_83333
MTBLS276	" ""Gurdon Inst"""	Escherichia coli	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/562	Escherichia coli K-12	EFO	http://purl.obolibrary.org/obo/NCBITaxon_83333
MTBLS276	" ""Gurdon Inst"""	Escherichia coli	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/562	Escherichia coli DH10B		
MTBLS276	" ""Gurdon Inst"""	Escherichia coli	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/562	Escherichia coli DH10B		
MTBLS276	" ""Gurdon Inst"""	Escherichia coli	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/562	Escherichia coli DH10B		
MTBLS276	" ""Gurdon Inst"""	Escherichia coli	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/562	Escherichia coli DH10B		
MTBLS276	" ""Gurdon Inst"""	Xenopus laevis	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/8355			
MTBLS276	" ""Gurdon Inst"""	Xenopus laevis	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/8355			
MTBLS276	" ""Gurdon Inst"""	Xenopus laevis	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/8355			
MTBLS276	" ""Gurdon Inst"""	Xenopus laevis	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/8355			
MTBLS276	" ""Gurdon Inst"""	Escherichia coli	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/562	Escherichia coli K-12	EFO	http://purl.obolibrary.org/obo/NCBITaxon_83333
MTBLS276	" ""Gurdon Inst"""	Escherichia coli	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/562	Escherichia coli K-12	EFO	http://purl.obolibrary.org/obo/NCBITaxon_83333
MTBLS276	" ""Gurdon Inst"""	Escherichia coli	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/562	Escherichia coli K-12	EFO	http://purl.obolibrary.org/obo/NCBITaxon_83333
MTBLS276	" ""Gurdon Inst"""	Escherichia coli	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/562	Escherichia coli K-12	EFO	http://purl.obolibrary.org/obo/NCBITaxon_83333
MTBLS276	" ""Gurdon Inst"""	Escherichia coli	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/562	Escherichia coli DH10B		
MTBLS276	" ""Gurdon Inst"""	Escherichia coli	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/562	Escherichia coli DH10B		
MTBLS276	" ""Gurdon Inst"""	Escherichia coli	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/562	Escherichia coli DH10B		
MTBLS276	" ""Gurdon Inst"""	Escherichia coli	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/562	Escherichia coli DH10B		
MTBLS276	" ""Gurdon Inst"""	blank					
MTBLS276	" ""Gurdon Inst"""	blank					
MTBLS276	" ""Gurdon Inst"""	blank					
MTBLS276	" ""Gurdon Inst"""	Xenopus laevis	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/8355			
MTBLS276	" ""Gurdon Inst"""	Xenopus laevis	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/8355			
MTBLS276	" ""Gurdon Inst"""	Xenopus laevis	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/8355			
MTBLS276	" ""Gurdon Inst"""	Xenopus laevis	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/8355			
MTBLS276	" ""Gurdon Inst"""	blank					
MTBLS276	" ""Gurdon Inst"""	blank					
MTBLS276	" ""Gurdon Inst"""	blank					
MTBLS276	" ""Gurdon Inst"""	blank					
MTBLS276	" ""Gurdon Inst"""	reference compound	BAO	http://www.bioassayontology.org/bao#BAO_0002092			
MTBLS276	" ""Gurdon Inst"""	reference compound	BAO	http://www.bioassayontology.org/bao#BAO_0002092			
